uri	id	word	definition	synset	pos
"http://wordnet-rdf.princeton.edu/id/00001740-a"	"00001740-a"	"able"	"(usually followed by `to') having the necessary means or skill or know-how or authority to do something; "able to swim"; "she was able to program her computer"; "we were at last able to buy a car"; "able to get a grant for the project""		"adjective"
"http://wordnet-rdf.princeton.edu/id/00001740-n"	"00001740-n"	"entity"	"that which is perceived or known or inferred to have its own distinct existence (living or nonliving)"		"noun"
"http://wordnet-rdf.princeton.edu/id/00001740-r"	"00001740-r"	"a capella"	"without musical accompaniment; "they performed a cappella""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00001740-v"	"00001740-v"	"take a breath"	"draw air into, and expel out of, the lungs; "I can breathe better when the air is clean"; "The patient is respiring""		"verb"
"http://wordnet-rdf.princeton.edu/id/00001885-r"	"00001885-r"	"A.D."	"in the Christian era; used before dates after the supposed year Christ was born; "in AD 200""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00001930-n"	"00001930-n"	"physical entity"	"an entity that has physical existence"		"noun"
"http://wordnet-rdf.princeton.edu/id/00002029-r"	"00002029-r"	"C.E."	"of the period coinciding with the Christian era; preferred by some writers who are not Christians; "in 200 CE""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00002098-a"	"00002098-a"	"unable"	"(usually followed by `to') not having the necessary means or skill or know-how; "unable to get to town without a car"; "unable to obtain funds""		"adjective"
"http://wordnet-rdf.princeton.edu/id/00002137-n"	"00002137-n"	"abstract entity"	"a general concept formed by extracting common features from specific examples"		"noun"
"http://wordnet-rdf.princeton.edu/id/00002190-r"	"00002190-r"	"BC"	"before the Christian era; used following dates before the supposed year Christ was born; "in 200 BC""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00002312-a"	"00002312-a"	"dorsal"	"facing away from the axis of an organ or organism; "the abaxial surface of a leaf is the underside or side facing away from the stem""		"adjective"
"http://wordnet-rdf.princeton.edu/id/00002325-v"	"00002325-v"	"respire"	"undergo the biomedical and metabolic processes of respiration by taking up oxygen and producing carbon monoxide"		"verb"
"http://wordnet-rdf.princeton.edu/id/00002344-r"	"00002344-r"	"BCE"	"of the period before the Common Era; preferred by some writers who are not Christians; "in 200 BCE""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00002452-n"	"00002452-n"	"thing"	"a separate and self-contained entity"		"noun"
"http://wordnet-rdf.princeton.edu/id/00002484-r"	"00002484-r"	"ahorse"	"on the back of a horse; "he rode horseback to town"; "managed to escape ahorse"; "policeman patrolled the streets ahorseback""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00002527-a"	"00002527-a"	"ventral"	"nearest to or facing toward the axis of an organ or organism; "the upper side of a leaf is known as the adaxial surface""		"adjective"
"http://wordnet-rdf.princeton.edu/id/00002573-v"	"00002573-v"	"respire"	"breathe easily again, as after exertion or anxiety"		"verb"
"http://wordnet-rdf.princeton.edu/id/00002669-r"	"00002669-r"	"just"	"only a very short time before; "we hardly knew them"; "had scarcely rung the bell when the door flew open"; "would have scarce arrived before she would have found some excuse to leave"- W.B.Yeats"		"adverb"
"http://wordnet-rdf.princeton.edu/id/00002684-n"	"00002684-n"	"object"	"a tangible and visible entity; an entity that can cast a shadow; "it was full of rackets, balls and other objects""		"noun"
"http://wordnet-rdf.princeton.edu/id/00002724-v"	"00002724-v"	"choke"	"breathe with great difficulty, as when experiencing a strong emotion; "She choked with emotion when she spoke about her deceased husband""		"verb"
"http://wordnet-rdf.princeton.edu/id/00002730-a"	"00002730-a"	"acroscopic"	"facing or on the side toward the apex"		"adjective"
"http://wordnet-rdf.princeton.edu/id/00002843-a"	"00002843-a"	"basiscopic"	"facing or on the side toward the base"		"adjective"
"http://wordnet-rdf.princeton.edu/id/00002935-r"	"00002935-r"	"just"	"by a little; "I only just caught the bus"; "he finished the marathon in just under 3 hours"; "it was barely 5 a.m."; "the network has barely 5 percent of viewers"; "the batter just missed being hit""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00002942-v"	"00002942-v"	"hyperventilate"	"breathe excessively hard and fast; "The mountain climber started to hyperventilate""		"verb"
"http://wordnet-rdf.princeton.edu/id/00002956-a"	"00002956-a"	"abducting"	"especially of muscles; drawing away from the midline of the body or from an adjacent part"		"adjective"
"http://wordnet-rdf.princeton.edu/id/00003131-a"	"00003131-a"	"adducting"	"especially of muscles; bringing together or drawing toward the midline of the body or toward an adjacent part"		"adjective"
"http://wordnet-rdf.princeton.edu/id/00003133-v"	"00003133-v"	"hyperventilate"	"produce hyperventilation in; "The nurses had to hyperventilate the patient""		"verb"
"http://wordnet-rdf.princeton.edu/id/00003175-r"	"00003175-r"	"just"	"exactly at this moment or the moment described; "we've just finished painting the walls, so don't touch them""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00003316-v"	"00003316-v"	"aspirate"	"inhale (air, water, etc.)"		"verb"
"http://wordnet-rdf.princeton.edu/id/00003317-r"	"00003317-r"	"scarce"	"almost not; "he hardly ever goes fishing"; "he was scarce sixteen years old"; "they scarcely ever used the emergency generator"; "I can hardly hear what she is saying"; "she barely seemed to notice him"; "we were so far back in the theater, we could barely read the subtitles""		"adverb"
